type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,press_space.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,key_resp.started,randomImage.started,randomImage.stopped,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.key_resp.keys,stroop.key_resp.corr,stroop.key_resp.rt,stroop.key_resp.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,consistent,12,yellow,yellow,word,m,800,2000,31,31,0,m,1,0.8082201999786776,None,0,31,31,11,155.65890099998796,,,,,,,,,155.3589190999919,155.65890099998796,155.65890099998796,155.65890099998796,155.65890099998796,155.7548981999862,155.7548981999862,156.47265049998532,m,1,0.8082201999786776,None,3.836978618419277,156.47348969997256,156.4883712999872,160.92550009998376,160.30582419998245,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,40,yellow,yellow,word,m,800,2000,32,32,0,m,1,0.7130434999999125,None,0,32,32,39,160.92550009998376,,,,,,,,,160.70359530000133,160.92550009998376,160.92550009998376,160.92550009998376,160.92550009998376,161.02210159998504,161.02210159998504,161.6560429999954,m,1,0.7130434999999125,None,4.353597906334459,161.65701599998283,161.6716894999845,166.63951829998405,166.00610169998254,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,8,black,yellow,word,z,800,2000,33,33,0,z,1,0.7188838000001851,None,0,33,33,7,166.63951829998405,,,,,,,,,166.3467348999984,166.63951829998405,166.63951829998405,166.63951829998405,166.63951829998405,166.7225296999968,166.7225296999968,167.37339439999778,z,1,0.7188838000001851,None,1.2798945570335742,167.3741694999917,167.38870229999884,169.35681219998514,168.6399067999737,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,5,orange,blue,word,z,800,2000,34,34,0,z,1,0.7269069000030868,None,0,34,34,4,169.35681219998514,,,,,,,,,168.9593439999735,169.35681219998514,169.35681219998514,169.35681219998514,169.35681219998514,169.360199799994,169.360199799994,170.09042129997397,z,1,0.7269069000030868,None,2.5070143558079128,170.09140899998602,170.1064244999725,173.30326749998494,172.59041169998818,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,29,green,blue,word,z,800,2000,35,35,0,z,1,0.8190643000125419,None,0,35,35,28,173.30326749998494,,,,,,,,,173.00628839997808,173.30326749998494,173.30326749998494,173.30326749998494,173.30326749998494,173.30636829999276,173.30636829999276,174.12416939999093,z,1,0.8190643000125419,None,1.406206218218867,174.12491089999094,174.13994499997352,175.90880399997695,175.5244094999798,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,7,green,green,word,m,800,2000,36,36,0,m,1,0.9017860000021756,None,0,36,36,6,175.90880399997695,,,,,,,,,175.8991574999818,175.90880399997695,175.90880399997695,176.91225539997686,175.90880399997695,176.24022819998208,176.24022819998208,176.91270749998512,m,1,0.9017860000021756,None,5.2482768451638835,176.91359929999453,176.91690869999002,182.6072647999972,182.15807179998956,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,44,green,red,word,z,800,2000,37,37,0,z,1,0.6822288999974262,None,0,37,37,43,182.6072647999972,,,,,,,,,182.37102089999826,182.6072647999972,182.6072647999972,182.6072647999972,182.6072647999972,182.87422169998172,182.87422169998172,183.29156779998448,z,1,0.6822288999974262,None,5.783130257876847,183.2923723999993,183.30780759998015,189.6664440999739,189.05872489998,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,consistent,57,yellow,yellow,word,m,800,2000,38,38,0,m,1,0.9466964000021107,None,0,38,38,56,189.6664440999739,,,,,,,,,189.36702869998408,189.6664440999739,189.6664440999739,189.6664440999739,189.6664440999739,189.7752511999861,189.7752511999861,190.62596939998912,m,1,0.9466964000021107,None,2.1498702959366565,190.62678219997906,190.64140289998613,193.3795325999963,192.77565159997903,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,16,red,green,word,z,800,2000,39,39,0,z,1,0.9117457999964245,None,0,39,39,15,193.3795325999963,,,,,,,,,193.0716280999768,193.3795325999963,193.3795325999963,193.3795325999963,193.3795325999963,193.49191519999295,193.49191519999295,194.2925860999967,z,1,0.9117457999964245,None,4.5508125330066305,194.29336729997885,194.3086715999816,199.40454659998068,198.84335949999513,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
test,inconsistent,15,yellow,red,word,z,800,2000,40,40,0,z,1,0.7286610000010114,None,0,40,40,14,199.40454659998068,,,,,,,,,199.18686579997302,199.40454659998068,199.40454659998068,199.40454659998068,199.40454659998068,199.5592102999799,199.5592102999799,200.14343179998104,z,1,0.7286610000010114,None,4.80613201711661,200.14442719999352,200.15945599999395,205.3108808999823,204.94361829999252,,,,,Shuai,001,2025-03-10_21h05.36.509,stroop,2024.2.4,60.118553784455635,2025-03-10 21h05.51.201030 -0700,
