type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,text_welcome.started,press_space.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,key_resp.started,randomImage.started,randomImage.stopped,text_stroop.started,dot.started,text_stroop.stopped,trial.stopped,stroop.key_resp.keys,stroop.key_resp.corr,stroop.key_resp.rt,stroop.key_resp.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,dot.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,inconsistent,3,blue,red,word,z,800,2000,117,58,1,z,1,0.4325466000009328,None,1,58,117,2,578.7771146000014,,,,,,,,,578.474309199999,578.7771146000014,578.7771146000014,578.7771146000014,578.7771146000014,578.9008055999984,578.9008055999984,579.2178688999993,z,1,0.4325466000009328,None,4.099509341806695,579.218632600001,579.2340330000006,583.6786713000001,583.3016250000001,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,34,green,green,word,m,800,2000,118,0,2,m,1,0.5737255999993067,None,2,0,118,33,583.6786713000001,,,,,,,,,583.6112447000014,583.6786713000001,583.6786713000001,,583.6786713000001,584.0013480000016,584.0013480000016,584.269089100002,m,1,0.5737255999993067,None,4.47552706756845,584.2699184000012,584.2846745999996,589.3678206000004,588.735611600001,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,1,red,red,word,m,800,2000,119,1,2,m,1,0.5968773999993573,None,2,1,119,0,589.3678206000004,,,,,,,,,589.0705893000013,589.3678206000004,589.3678206000004,589.3678206000004,589.3678206000004,589.4514616000015,589.4514616000015,589.9691454999993,m,1,0.5968773999993573,None,2.330708220293137,589.9701566000003,589.9850655000009,592.9856658999997,592.2858639000005,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,59,yellow,green,word,z,800,2000,120,2,2,z,1,0.5078369000002567,None,2,2,120,58,592.9856658999997,,,,,,,,,592.6846600999997,592.9856658999997,592.9856658999997,592.9856658999997,592.9856658999997,592.989056800001,592.989056800001,593.5027334000006,z,1,0.5078369000002567,None,2.457643324559559,593.5035499000005,593.5186667999988,596.6244709999992,595.9524443000009,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,30,blue,red,word,z,800,2000,121,3,2,z,1,0.6212426999991294,None,2,3,121,29,596.6244709999992,,,,,,,,,596.328310500001,596.6244709999992,596.6244709999992,596.6244709999992,596.6244709999992,596.6522031999993,596.6522031999993,597.2534207999997,z,1,0.6212426999991294,None,1.848416926824762,597.2541530000017,597.2692720000014,599.4419124000015,599.0864585000018,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,consistent,18,red,red,word,m,800,2000,122,4,2,m,1,0.527859100002388,None,2,4,122,17,599.4419124000015,,,,,,,,,599.4212718999988,599.4419124000015,599.4419124000015,,599.4419124000015,599.7864087999988,599.7864087999988,599.987011199999,m,1,0.527859100002388,None,3.3178902435292574,599.9879215000001,600.0027004000003,603.8264941999987,603.3034604999993,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,37,red,green,word,z,800,2000,123,5,2,z,1,0.4904480000004696,None,2,5,123,36,603.8264941999987,,,,,,,,,603.5242438999994,603.8264941999987,603.8264941999987,603.8264941999987,603.8264941999987,604.0200164000016,604.0200164000016,604.3208224000009,z,1,0.4904480000004696,None,3.413509525653084,604.3216124999999,604.3367174999985,608.2835286000009,607.7206881999991,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,8,black,yellow,word,z,800,2000,124,6,2,z,1,0.4932176000002073,None,2,6,124,7,608.2835286000009,,,,,,,,,608.0694857000017,608.2835286000009,608.2835286000009,608.2835286000009,608.2835286000009,608.4200285000006,608.4200285000006,608.7877172000008,z,1,0.4932176000002073,None,3.6828318316669786,608.7885664999994,608.8036479000002,612.8786746000005,612.4549444000004,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,39,red,yellow,word,z,800,2000,125,7,2,z,1,0.6670565999993414,None,2,7,125,38,612.8786746000005,,,,,,,,,612.7104316000004,612.8786746000005,612.8786746000005,612.8786746000005,612.8786746000005,613.1709674000012,613.1709674000012,613.5545434999985,z,1,0.6670565999993414,None,4.542145638359455,613.5553240000008,613.5709123999986,618.7189020000005,618.088539299999,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
test,inconsistent,4,red,green,word,z,800,2000,126,8,2,z,1,0.4209998000005726,None,2,8,126,3,618.7189020000005,,,,,,,,,618.3151601999998,618.7189020000005,618.7189020000005,618.7189020000005,618.7189020000005,618.8047532000019,618.8047532000019,619.1551738000016,z,1,0.4209998000005726,None,5.291857986915108,619.1563692000018,619.1712899999984,625.3399801000014,624.4386311999988,,,,,110133,001,2025-03-08_17h38.14.901,stroop,2024.2.4,60.02098333615259,2025-03-08 17h38.20.313674 -0800,
