type,condition1,trialNo,stim1,textColor,stimFormat,key,ITI,presTime,thisN,thisTrialN,thisRepN,press.keys,press.corr,press.rt,press.duration,stroop.thisRepN,stroop.thisTrialN,stroop.thisN,stroop.thisIndex,thisRow.t,notes,welcome.started,press_space.started,text_welcome.started,welcome.stopped,press_space.keys,press_space.rt,press_space.duration,trial.started,press.started,text_stroop.started,sound_1.started,dot.started,text_stroop.stopped,trial.stopped,stroop.press.keys,stroop.press.corr,stroop.press.rt,stroop.press.duration,time_fixation,fixation.started,dot_fixation.started,dot_fixation.stopped,fixation.stopped,thanks.started,thank_you.started,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
test,inconsistent,42,green,yellow,word,z,800,2000,27,27,0,z,1,0.6551776999986032,None,0,27,27,41,115.16933500000232,,,,,,,,,115.16242200000124,115.16933500000232,115.16933500000232,0.044558499997947365,115.33347240000148,115.33347240000148,115.83570900000268,z,1,0.6551776999986032,None,4.660273986337255,115.83645960000285,115.8501419000022,120.53721779999978,120.48495390000244,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,34,green,green,word,m,800,2000,28,28,0,m,1,0.5669366000001901,None,0,28,28,33,120.53721779999978,,,,,,,,,120.53140220000205,120.53721779999978,120.53721779999978,0.04632169999968028,120.7006306000003,120.7006306000003,121.11928260000059,m,1,0.5669366000001901,None,4.975016152921263,121.12000760000228,121.13415800000075,126.1264078000022,126.08555490000072,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,25,red,blue,word,z,800,2000,29,29,0,z,1,0.5599915999991936,None,0,29,29,24,126.1264078000022,,,,,,,,,126.12035000000105,126.1264078000022,126.1264078000022,0.03486759999941569,126.30128260000129,126.30128260000129,126.70359070000268,z,1,0.5599915999991936,None,5.941226204071021,126.70435170000201,126.71786030000294,132.65922560000035,132.63626769999973,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,18,red,red,word,m,800,2000,30,30,0,m,1,0.5114059000006819,None,0,30,30,17,132.65922560000035,,,,,,,,,132.65223100000003,132.65922560000035,132.65922560000035,0.01617669999905047,132.8520126000003,132.8520126000003,133.1875414999995,m,1,0.5114059000006819,None,5.938809945458076,133.18819240000084,133.2018566000006,139.16730430000098,139.1194187000001,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,29,green,blue,word,z,800,2000,31,31,0,z,1,0.5620710999974108,None,0,31,31,28,139.16730430000098,,,,,,,,,139.15983870000127,139.16730430000098,139.16730430000098,0.04073689999859198,139.31875650000075,139.31875650000075,139.7379843000017,z,1,0.5620710999974108,None,5.8744598948005144,139.73868589999984,139.7526484000009,145.63294730000052,145.60434689999965,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,45,red,red,word,m,800,2000,32,32,0,m,1,0.624255799997627,None,0,32,32,44,145.63294730000052,,,,,,,,,145.62661560000197,145.63294730000052,145.63294730000052,0.022428199998103082,145.81960439999966,145.81960439999966,146.27195660000143,m,1,0.624255799997627,None,1.1099375201428092,146.2726017999994,146.28678990000117,147.39549160000024,147.37080609999975,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,51,red,red,word,m,800,2000,33,33,0,m,1,0.507364699999016,None,0,33,33,50,147.39549160000024,,,,,,,,,147.3894515000029,147.39549160000024,147.39549160000024,0.018706099999690196,147.5866425000022,147.5866425000022,147.90446000000156,m,1,0.507364699999016,None,1.2067985739650995,147.90504910000163,147.91961530000117,149.1319779000005,149.10476070000004,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,5,orange,blue,word,z,800,2000,34,34,0,z,1,0.688260300001275,None,0,34,34,4,149.1319779000005,,,,,,,,,149.12555770000108,149.1319779000005,149.1319779000005,0.020767699999851175,149.3200452000019,149.3200452000019,149.82273400000122,z,1,0.688260300001275,None,2.730085826839831,149.82362550000107,149.83686189999935,152.57093610000084,152.53815400000167,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,consistent,49,yellow,yellow,word,m,800,2000,35,35,0,m,1,0.567413700002362,None,0,35,35,48,152.57093610000084,,,,,,,,,152.56373430000167,152.57093610000084,152.57093610000084,0.02557869999873219,152.75373039999977,152.75373039999977,153.15603770000234,m,1,0.567413700002362,None,4.388356140271594,153.1568017999998,153.17026700000133,157.56602380000186,157.53890370000227,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
test,inconsistent,3,blue,red,word,z,800,2000,36,36,0,z,1,0.5056534999966971,None,0,36,36,2,157.56602380000186,,,,,,,,,157.56027710000126,157.56602380000186,157.56602380000186,0.02150170000095386,157.7544865000018,157.7544865000018,158.08964720000222,z,1,0.5056534999966971,None,4.8959676043333875,158.0903689000006,158.1045026000029,163.0024426000018,162.97247450000214,,,,Casey,001,2025-03-08_17h57.48.792,pleaseworkstroopcontrol,2024.2.4,60.07857075424197,2025-03-08 17h58.03.975243 -0800,
